 1, 154,    0.064137 
 2, 154,    0.034879 
 3, 154,    0.017175 
 4, 154,    0.012667 
 5, 154,    0.009917 
 6, 154,    0.008030 
 7, 154,    0.006637 
 8, 154,    0.005674 
 9, 154,    0.004862 
 10, 154,    0.004431 
 11, 154,    0.004394 
 12, 154,    0.004019 
 13, 154,    0.003806 
 14, 154,    0.003424 
 15, 154,    0.003240 
 16, 154,    0.003063 
 1, 154,    0.106915 
 2, 154,    0.055064 
 3, 154,    0.036404 
 4, 154,    0.027243 
 5, 154,    0.021807 
 6, 154,    0.018034 
 7, 154,    0.015195 
 8, 154,    0.013078 
 9, 154,    0.011697 
 10, 154,    0.010314 
 11, 154,    0.009663 
 12, 154,    0.008731 
 13, 154,    0.008101 
 14, 154,    0.007377 
 15, 154,    0.007421 
 16, 154,    0.005979 
